Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Paprika Chicken,0,1,1,0,240,39,8,1,16.4,658,602,1,0,0,0.2
Sarson ka saag,0,1,1,0,140,11,2,2.4,91,625,196,8.4,2.2,0,2
Almond Halwa,1,1,0,0,563,49,15.23,2.2,171.2,14.2,478,23.7,7.25,0,13.43
VEGETARIAN CAESAR SALAD,1,1,0,0,219,16,6,3,149,337,806,17,7,0,4
MIXED VEGETABLE CURRY,0,1,1,0,365,22,11,4,219,732,959,35,8,0,11
MUSHROOM MATAR MASALA,0,1,1,0,161,9,7,2,43,673,730,18,6,0,8
PALAK PANEER ,0,1,1,0,365,28,17,4,574,741,775,13,4,0,3
DAL FRY,0,1,0,0,224,9,9,2,58,959,233,30,8,0,4
Butter Chicken,0,1,1,0,284,18,18,2.3,102,200,488,11,1.6,0,5.4
Veg POT TACO PASTA,0,1,0,0,490,12,19,3,194,1817,689,79,8,0,11
TOMATO PESTO TARTS,1,0,0,0,240,18,5,1,105,297,87,15,1,0,1
CHILLI CHEESE TOAST,1,0,0,0,427,21,21,3,385,891,221,39,3,0,6
NUTELLA CROISSANTS,1,0,0,0,276,18,4,1,16,106,64,24,1,0,5
EGGLESS BANANA CHOCOLATE CAKE,1,0,0,0,339,16,6,3,37,215,428,48,7,0,24
BERRY OAT SMOOTHIE,1,0,0,0,298,8,10,1,241,82,609,49,7,0,25
Onions,0,1,1,0,40,0.1,1.1,0.21,23,4,146,9.3,1.7,0,4.2
Orange,1,0,0,0,97,0.2,1.5,0.8,161,3,212,25,11,0,0
Pasta canned with tomato sauce,0,1,1,0,71,0.7,2.2,0.91,13,381,192,14,0.9,0,4
Pears,1,0,0,0,57,0.1,0.4,0.18,9,1,116,15,3.1,0,9.8
Peas,0,1,1,0,81,0.4,5.4,1.47,25,5,244,14,5.7,0,5.7
Protein Powder,1,0,0,0,411,17,46,8.57,500,329,1129,19,7.1,200,5.7
Pumpkin,0,1,1,0,18,0.1,0.7,0.57,15,237,230,4.3,1.1,0,2.1
Tuna Salad,0,1,1,1,187,9.3,16,1,17,402,178,9.4,0,0,0
Tuna Fish,0,0,1,1,184,6.3,30,1.31,10,50,323,0,0,0,0
Peproni Pizza,0,0,1,0,298,14,12,2.14,146,692,199,30,1.8,0,3.2
Cheese Pizza,0,0,1,0,276,11,11,2.47,192,580,170,33,2.1,0,2.5
Fajita Chicken Wrap,0,1,1,1,418,20,45,1.4,76,336,796,11,9,0,3.5
Vegan Snack Sandwich,0,1,1,0,503,30,13,3,111,656,355,40,5,0,4.7
