0Calories ,1Fats (gm),2Proteins(g),3Iron(mg),4Calcium(mg),5Sodium(mg),6Potassium(mg),7Carbohydrates (gm),8Fibre (gm),9Vitamin D (mcg),10Sugars (gm)
240,39,8,1,16.4,658,602,1,0,0,0.2
140,11,2,2.4,91,625,196,8.4,2.2,0,2
563,49,15.23,2.2,171.2,14.2,478,23.7,7.25,0,13.43
81,0.4,5.4,1.47,25,5,244,14,5.7,0,5.7
411,17,46,8.57,500,329,1129,19,7.1,200,5.7
18,0.1,0.7,0.57,15,237,230,4.3,1.1,0,2.1
187,9.3,16,1,17,402,178,9.4,0,0,0
184,6.3,30,1.31,10,50,323,0,0,0,0
298,14,12,2.14,146,692,199,30,1.8,0,3.2
276,11,11,2.47,192,580,170,33,2.1,0,2.5
418,20,45,1.4,76,336,796,11,9,0,3.5
60,4,3.1,0.08,183,70,234,7,0,1,7
407,6.2,4.4,3.81,17,457,51,84,2.9,0,55
108,0.2,1.8,0.14,4,19,4,24,1,0,0
188,7.2,4.4,24,6.4,522,91,26.4,2.2,0,0.24
95,4.2,11,0.1,56,403,86,3,0.1,0,0.4
127,4.4,21,0.38,7,75,366,0,0,435,0
384,0.9,5.9,19.4,2,571,107,88,2.7,286,7.8
31,0.2,1.8,1.03,37,6,211,7,2.7,0,3.3
101,0.5,8.8,3.1,14,246,284,21,0,0,0
126,0.7,2.6,0.25,1,0,31,28,4.8,0,0
1,0,0,0.08,2,1,9,0.2,0,0,0
52,0.2,0.3,0.12,6,1,107,14,24,0,10
519,34,2.3,1.25,18,6,536,58,7.7,0,35
224,10,8,1.3,38,81,500,24,3,0,15
295,19,18,2,32,409,662,11,7,0,7.5
89,4,5,1.3,82,638,545,7,5,0,2.9
368,12,33,2.7,132,527,762,27,3,0,4.5
208,12,10,1.8,60,328,302,10,4,0,2
185,7,20,0.6,221,61,380,11,2,0,10
277,8,14,3.7,126,1172,444,36,2,0,5.6
429,9.5,13,2.28,11,490,241,73,14,0,0.5
168,3.7,4.5,8,0.7,94,76,29,0.9,0,0.1
156,1.7,5,17.2,4,207,63,30.2,2.1,0,0.74
130,1.5,2.6,3.16,1,201,117,26.9,1.1,0,0.5
297,7.5,11,3.01,93,409,266,46,4.9,0,2.7
399,24,31,4.8,177,527,1156,10,6,0,6.3
379,29,10,5.4,123,72,700,19,8,0,15
195,4,15,1.9,132,136,191.5,21,3,0,0.4
116,2,0,0.5,25.1,1.4,404,27,3,0,22.6
456,30,18,3.4,119,1691,577,34,8,0,6.2
222,10,5,8.2,294,318,388,34,1,0,15
259,2,36,3.9,181.6,246.5,794,28,9,0,19
443,15,16,4.9,69.3,1225,783,57,9,0,2.4
203,5,9,0.9,61.4,2.3,542,25,5,0,15.1
362,13,19,2.1,154.6,246,357,32,5,0,19
247,16,9,1,23.4,5.4,523,16,5,0,15.4
89,0.3,1.1,0.26,5,1,358,23,2.6,0,12
250,1.5,10,2.76,20,439,165,49,4.1,0,6.1
533,23,24,3.7,454,1587.7,638.7,51,4,0,12.3
22,0.2,2.4,0.91,23,14,224,4.1,2,0,1.3
160,15,2,0.55,12,7,485,8.5,6.7,0,0.7
446,22,24,3.9,246,794,419,29,5,0,2.6
234,13,11,2.8,108,729,731,16,7,0,9.3
305,11,29,2.7,135,56,223,22,5,0,4
445,22,30,2.4,70.8,724,526,27,3,0,3.8
344,19,10,3.2,87.4,536,661,36,10,0,8.3
335,39,3,4.2,253.2,2017,1196,26,13,0,12.6
545,25,30,4.7,506.4,1488.8,886.4,36,14,0,10.1
568,33,38,2.8,411,1714,1625.4,17,13,0,13
292,15,18,0.62,13,859,315,20,1.3,0,0
256,12,13,2.78,92,660,178,25,1.4,0,0
257,12,15,1.32,92,605,256,23,1.2,0,5
426,23,5.2,1.06,60,402,102,51,1.5,0,32
452,25,4.9,4,24,326,201,51,1.9,0,27
273,9.22,6.58,6.04,279,621,126,41.05,2.2,0,4.3
503,23.36,7.79,2.32,174,15,215,65.32,5.3,0,1
46,0.13,0.39,0.25,8,2,77,12.2,0.1,0,12.1
310,28.4,11.7,1.4,12,682,155,2,0,0,0
19,0.3,1.36,1.51,118,29,141,2.81,1.3,0,0.42
376,31.19,22.2,0.39,616,7,162,1.6,0,0,0.45
509,29.1,1.96,0.06,18,0,909,59.94,0.5,0,59
19,0,0.1,0.06,10,5,45,4.7,0.1,0,4.6
374,27.4,28.4,0.17,961,14,111,3.4,0,0,1.31
82,1.9,4.34,0.8,12,35,148,11.53,1.1,0,0.37
276,2.8,10.8,2.78,67,492,208,51.87,5.4,0,0.4
609,53.03,12.12,4.91,61,295,447,30.3,3,0,9.09
716,76.08,7.79,2.65,70,353,363,12.83,8,0,4.14
594,51.45,17.3,3.7,70,345,693,25.35,9,0,4.8
607,53.95,20.04,2.61,117,273,632,21.05,7,0,4.15
35,0.41,2.38,0.67,40,41,293,7.18,3.3,0,1.39
26,0.29,2.81,0.81,56,24,212,4.78,3,0,1.35
28,0.12,3.1,0.61,33,11,142,5.35,3,0,1.47
29,0.34,3.06,0.72,41,17,250,5.35,3,0,1.47
36,0.5,2.55,1.2,36,21,317,7.1,2.6,0,1.74
41,0.41,3.78,0.93,26,10,370,7.86,3.8,0,2.03
42,0.39,3.64,0.48,26,15,290,8.32,4.1,0,2.08
72,0.15,1.53,0.8,41,5,308,17.34,3.3,0,2.9
25,0.1,1.28,0.47,40,18,170,5.8,2.5,0,3.2
23,0.06,1.27,0.17,48,8,196,5.51,1.9,0,2.79
31,0.16,1.43,0.8,45,27,243,7.37,2.1,0,3.83
29,0.09,1.51,0.66,42,28,262,6.94,2.6,0,3.32
16,0.2,1.2,0.31,77,9,238,3.23,1.2,0,1.41
36,0.46,0.78,0.44,36,68,235,7.9,3.3,0,4.76
37,0.68,0.58,0.53,35,59,192,7.73,3.3,0,4.08
160,0.28,1.36,0.27,16,14,271,38.06,1.8,0,1.7
25,0.28,1.92,0.42,22,30,299,4.97,2,0,1.91
14,0.17,0.69,0.2,40,80,260,2.97,1.6,0,1.34
18,0.16,0.83,0.42,42,91,284,4,1.6,0,2.37
19,0.2,1.8,1.8,51,213,379,3.74,1.6,0,1.1
23,0.3,1.7,0.9,100,45,420,4.7,4,0,0.7
72,0.2,1.4,0.8,41,50,290,17.51,1.5,0,8.73
71,0.3,1.32,0.58,37,10,367,17.01,3.6,0,4.8
42,0.2,2.8,2.08,43,4,200,7.55,2.6,0,4
42,0.23,3.27,1.97,42,4,240,7.05,2.8,0,3.99
68,0.8,4.47,1.18,23,273,106,11.36,4.9,0,2.99
78,0.27,5.15,1.52,24,72,110,14.26,4.5,0,4.4
48,0.42,3.09,0.94,23,68,158,10.12,3.1,0,4.36
45,0.2,2.54,0.94,14,37,117,8.63,2.2,0,3.77
116,11.85,0.78,0.3,8,17,134,4.22,1.8,0,2.17
136,1.64,7.2,1.6,42,5,552,23.88,5.1,0,3
77,0.09,2.05,0.81,12,6,425,17.49,2.1,0,0.82
79,0.08,2.14,0.86,13,5,417,18.07,1.3,0,0.62
69,0.1,1.68,0.52,9,16,407,15.71,2.4,0,1.15
70,0.14,1.89,0.73,10,18,455,15.9,1.7,0,1.29
95,0.13,2.63,1.07,18,14,550,21.44,2.3,0,1.08
127,1.81,2.22,0.5,15,298,450,26.15,2.6,0,0.69
93,0.1,1.96,0.35,5,5,391,21.55,1.5,0,1.7
198,0.1,4.29,7.04,34,21,573,46.06,7.9,0,1.4
48,0.04,0.63,0.3,12,4,165,12.34,1.6,0,10.74
63,0.05,0.53,0.39,11,4,138,16.49,1.6,0,14.89
241,0.51,3.39,2.66,55,10,1162,62.64,7.3,0,53.44
85,0.18,1.2,0.94,19,4,411,22.15,2.6,0,19.57
346,1.81,3.89,1.15,22,3,1491,88.28,9.9,0,47.3
43,0.49,1.39,0.62,29,1,162,9.61,5.3,0,4.88
38,0.6,0.3,0.48,12,1,135,7.8,0.1,0,7.7
88,0.33,0.65,0.33,5,3,40,22.06,1.6,0,20.46
51,0.64,0.42,0.18,8,1,54,12.17,2.7,0,8.45
85,0.13,0.4,0.39,6,1,60,21.95,2.2,0,19.72
75,0.68,1.57,0.27,10,7,287,17.71,3,0,12.87
50,0.3,1,0.32,16,3,173,12.18,1.6,0,8.49
36,0.1,0.77,1.37,11,7,98,8.94,1.1,0,7.6
46,0.13,0.77,0.36,11,1,131,11.76,1.5,0,10.26
