id,name,bf,lu,di,cal,fat,pro,sug,imagepath
1,Paprika Chicken,0,1,1,240,39,8,0.2,Paprika_Chicken.jpg
2,Sarson ka saag,0,1,1,140,11,2,2,Sarson_Ka_Saag.jpg
3,Almond Halwa,1,1,0,563,49,15.23,13.43,Almond_Halwa.jpg
4,VEGETARIAN CAESAR SALAD,1,1,0,219,16,6,4,Vegetarian_Caesar_Salad.jpg
5,MIXED VEGETABLE CURRY,0,1,1,365,22,11,11,Mixed_Vegetable_Curry.jpg
6,MUSHROOM MATAR MASALA,0,1,1,161,9,7,8,Mushroom_Matar_Masala.jpg
7,PALAK PANEER ,0,1,1,365,28,17,3,Palak_Paneer.jpg
8,DAL FRY,0,1,0,224,9,9,4,Dal_Fry.jpg
9,Butter Chicken,0,1,1,284,18,18,5.4,Butter_Chicken.jpg
10,Veg POT TACO PASTA,0,1,0,490,12,19,11,Veg_Pot_Taco_Pasta.jpg
11,TOMATO PESTO TARTS,1,0,0,240,18,5,1,Tomato_Pesto_Tarts.jpg
12,CHILLI CHEESE TOAST,1,0,0,427,21,21,6,Chilli_Cheese_Toast.jpg
13,NUTELLA CROISSANTS,1,0,0,276,18,4,5,Nutella_Croissants.jpg
14,EGGLESS BANANA CHOCOLATE CAKE,1,0,0,339,16,6,24,Eggless_Banana_Chocolate_Cake.jpg
15,BERRY OAT SMOOTHIE,1,0,0,298,8,10,25,Berry_Oat_Smoothie.jpg
16,Onions,0,1,1,40,0.1,1.1,4.2,onion.jpg
17,Orange,1,0,0,97,0.2,1.5,0,Oranges.jpg
18,Pasta canned with tomato sauce,0,1,1,71,0.7,2.2,4,Pasta.jpg
19,Pears,1,0,0,57,0.1,0.4,9.8,Pears.jpg
20,Peas,0,1,1,81,0.4,5.4,5.7,Peas.jpg
21,Protein Powder,1,0,0,411,17,46,5.7,Protien_powder.jpg
22,Pumpkin,0,1,1,18,0.1,0.7,2.1,Pumpkin.jpg
23,Tuna Salad,0,1,1,187,9.3,16,0,Tuna_Salad.jpg
24,Tuna Fish,0,0,1,184,6.3,30,0,Tuna_fish.jpg
25,Peproni Pizza,0,0,1,298,14,12,3.2,Peproni_Pizza.jpg
26,Cheese Pizza,0,0,1,276,11,11,2.5,Cheese_Pizza.jpg
27,Fajita Chicken Wrap,0,1,1,418,20,45,3.5,Fajita_Chicken_Wrap.jpg
28,Vegan Snack Sandwich,0,1,1,503,30,13,4.7,Vegan_Snack_Sandwich.jpg
29,Fish Burger,0,0,1,411,11,32,4.3,Fish_Burger.jpg
30,Applesauce Oatmeal Muffins,1,0,0,146,5,3,14,Applesauce_Oatmeal_Muffins.jpg
31,Puffy Corn Omelet,1,0,0,261,19,9,3.7,Puffy_Corn_Omelet.jpg
32,Simple Breakfast Burritos,1,0,0,286,13,16,2.6,Simple_Breakfast_Burritos.jpg
33,Mango Protein Shake,1,1,0,355,33,6,41,Mango_Protein_Shake.jpg
34,Veggie and Cheese Omelet,1,0,0,479,33,35,5.6,Veggie_and_Cheese_Omelet.jpg
35,Spinach Scramble,1,0,0,388,25,31,5.3,Spinach_Scramble.jpg
36,Keto Breakfast Sandwich,1,0,0,458,26,38,0.6,Keto_Breakfast_Sandwich.jpg
37,Chocolate Peanut Butter Oatmeal,1,0,0,507,15,21,13.7,Chocolate_Peanut_Butter_Oatmeal.jpg
